titulo_post,descripcion_post,comentario,comentario_clean,comentario_norm,likes,url,fecha,archivo_origen,candidatos_detectados,capa_deteccion
Análisis de intención de voto,Las propuestas para jóvenes generan debate en redes.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,160,https://ejemplo-elecciones-colombia.com/post/89,2026-02-19,dataset_elecciones_5.csv,María Fernanda Cabal,modelo_bert
Candidato propone reforma económica,El candidato habló sobre reformas para mejorar la economía nacional.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,3194,https://ejemplo-elecciones-colombia.com/post/90,2026-05-01,dataset_elecciones_4.csv,Claudia López,nlp
Discusión sobre seguridad en Bogotá,La seguridad y el transporte fueron temas principales en la discusión.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,237,https://ejemplo-elecciones-colombia.com/post/91,2026-02-04,dataset_elecciones_4.csv,Claudia López,manual
Discusión sobre seguridad en Bogotá,Miles de personas reaccionan a las declaraciones recientes.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,1352,https://ejemplo-elecciones-colombia.com/post/92,2026-04-13,dataset_elecciones_4.csv,Juan Manuel Galán,nlp
Discusión sobre seguridad en Bogotá,Las propuestas para jóvenes generan debate en redes.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,4623,https://ejemplo-elecciones-colombia.com/post/93,2026-01-04,dataset_elecciones_1.csv,Miguel Uribe,regex
Análisis de intención de voto,La seguridad y el transporte fueron temas principales en la discusión.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,1488,https://ejemplo-elecciones-colombia.com/post/94,2026-01-18,dataset_elecciones_1.csv,Juan Manuel Galán,manual
Discusión sobre seguridad en Bogotá,El candidato habló sobre reformas para mejorar la economía nacional.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,2764,https://ejemplo-elecciones-colombia.com/post/95,2026-01-28,dataset_elecciones_4.csv,Claudia López,manual
Candidato propone reforma económica,Analistas revisan el impacto de las campañas digitales.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,670,https://ejemplo-elecciones-colombia.com/post/96,2026-02-23,dataset_elecciones_4.csv,María Fernanda Cabal,regex
Candidato propone reforma económica,Las nuevas encuestas muestran variaciones en la intención de voto.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,562,https://ejemplo-elecciones-colombia.com/post/97,2026-01-07,dataset_elecciones_1.csv,Juan Manuel Galán,regex
Debate presidencial genera polémica,Las propuestas para jóvenes generan debate en redes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,1248,https://ejemplo-elecciones-colombia.com/post/98,2026-04-18,dataset_elecciones_2.csv,Vicky Dávila,nlp
Nuevo plan de empleo juvenil,Las nuevas encuestas muestran variaciones en la intención de voto.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,3809,https://ejemplo-elecciones-colombia.com/post/99,2026-01-15,dataset_elecciones_3.csv,Claudia López,manual
Opiniones divididas en redes sociales,Miles de personas reaccionan a las declaraciones recientes.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,938,https://ejemplo-elecciones-colombia.com/post/100,2026-03-19,dataset_elecciones_2.csv,Vicky Dávila,manual
Candidato propone reforma económica,Las propuestas para jóvenes generan debate en redes.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,3074,https://ejemplo-elecciones-colombia.com/post/101,2026-01-04,dataset_elecciones_4.csv,Gustavo Petro,nlp
Análisis de intención de voto,Miles de personas reaccionan a las declaraciones recientes.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,1989,https://ejemplo-elecciones-colombia.com/post/102,2026-03-30,dataset_elecciones_1.csv,Gustavo Petro,manual
Análisis de intención de voto,Usuarios comentan las propuestas presentadas durante el debate.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,4636,https://ejemplo-elecciones-colombia.com/post/103,2026-03-18,dataset_elecciones_1.csv,María Fernanda Cabal,manual
Candidato propone reforma económica,Usuarios comentan las propuestas presentadas durante el debate.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,4144,https://ejemplo-elecciones-colombia.com/post/104,2026-03-26,dataset_elecciones_3.csv,Miguel Uribe,regex
Discusión sobre seguridad en Bogotá,Usuarios comentan las propuestas presentadas durante el debate.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,3551,https://ejemplo-elecciones-colombia.com/post/105,2026-04-16,dataset_elecciones_3.csv,María Fernanda Cabal,modelo_bert
Encuesta electoral muestra cambios,Miles de personas reaccionan a las declaraciones recientes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,4274,https://ejemplo-elecciones-colombia.com/post/106,2026-02-25,dataset_elecciones_3.csv,Juan Manuel Galán,modelo_bert
Opiniones divididas en redes sociales,Las propuestas para jóvenes generan debate en redes.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,2198,https://ejemplo-elecciones-colombia.com/post/107,2026-04-16,dataset_elecciones_3.csv,Claudia López,nlp
Discusión sobre seguridad en Bogotá,Las nuevas encuestas muestran variaciones en la intención de voto.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,3806,https://ejemplo-elecciones-colombia.com/post/108,2026-02-05,dataset_elecciones_5.csv,María Fernanda Cabal,modelo_bert
Análisis de intención de voto,El candidato habló sobre reformas para mejorar la economía nacional.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,1489,https://ejemplo-elecciones-colombia.com/post/109,2026-03-05,dataset_elecciones_4.csv,Sergio Fajardo,nlp
Candidato propone reforma económica,El candidato habló sobre reformas para mejorar la economía nacional.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,4883,https://ejemplo-elecciones-colombia.com/post/110,2026-02-03,dataset_elecciones_3.csv,Sergio Fajardo,regex
Encuesta electoral muestra cambios,Miles de personas reaccionan a las declaraciones recientes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,3329,https://ejemplo-elecciones-colombia.com/post/111,2026-01-11,dataset_elecciones_4.csv,Miguel Uribe,nlp
Opiniones divididas en redes sociales,La seguridad y el transporte fueron temas principales en la discusión.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,3671,https://ejemplo-elecciones-colombia.com/post/112,2026-03-24,dataset_elecciones_1.csv,Juan Manuel Galán,regex
Opiniones divididas en redes sociales,Las nuevas encuestas muestran variaciones en la intención de voto.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,2508,https://ejemplo-elecciones-colombia.com/post/113,2026-02-21,dataset_elecciones_5.csv,Sergio Fajardo,manual
Candidato propone reforma económica,La seguridad y el transporte fueron temas principales en la discusión.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,4508,https://ejemplo-elecciones-colombia.com/post/114,2026-03-09,dataset_elecciones_3.csv,Claudia López,manual
Candidato propone reforma económica,El candidato habló sobre reformas para mejorar la economía nacional.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,1888,https://ejemplo-elecciones-colombia.com/post/115,2026-02-04,dataset_elecciones_1.csv,Juan Manuel Galán,nlp
Nuevo plan de empleo juvenil,Analistas revisan el impacto de las campañas digitales.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,1516,https://ejemplo-elecciones-colombia.com/post/116,2026-04-06,dataset_elecciones_2.csv,Sergio Fajardo,nlp
Opiniones divididas en redes sociales,Las propuestas para jóvenes generan debate en redes.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,4297,https://ejemplo-elecciones-colombia.com/post/117,2026-02-05,dataset_elecciones_5.csv,Juan Manuel Galán,manual
Candidato propone reforma económica,Las nuevas encuestas muestran variaciones en la intención de voto.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,2956,https://ejemplo-elecciones-colombia.com/post/118,2026-01-25,dataset_elecciones_2.csv,Gustavo Petro,manual
Encuesta electoral muestra cambios,El candidato habló sobre reformas para mejorar la economía nacional.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,372,https://ejemplo-elecciones-colombia.com/post/119,2026-03-10,dataset_elecciones_1.csv,Gustavo Petro,manual
Análisis de intención de voto,Analistas revisan el impacto de las campañas digitales.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,4021,https://ejemplo-elecciones-colombia.com/post/120,2026-03-23,dataset_elecciones_1.csv,Juan Manuel Galán,regex
